drug_row,drug_col,cell_line,mean_synergy,std,ci_low,ci_high,conservative_score,topk_probability
111,45,17,6.281083027161428,0.7731053401600406,4.765796560447749,7.796369493875108,5.507977687001388,0.74
64,45,0,5.582292305821033,0.6757429459810784,4.257836131698119,6.906748479943947,4.906549359839955,0.39
64,45,57,5.4718517179444905,0.6535681118824689,4.190858218654851,6.75284521723413,4.818283606062022,0.33
111,64,53,5.325484344383945,0.6045078314394796,4.140648994762564,6.510319694005325,4.720976512944465,0.25
64,45,39,5.34860350504522,0.7150602623412786,3.9470853908563135,6.750121619234125,4.633543242703941,0.28
64,45,28,5.350186082462381,0.7482931581541453,3.883531492480256,6.816840672444505,4.601892924308236,0.33
64,45,6,5.0555752038182336,0.7200246147168685,3.6443269589731715,6.466823448663296,4.335550589101365,0.14
111,99,58,4.987536444005669,0.6721875218333155,3.670048901212371,6.305023986798967,4.315348922172354,0.09
111,6,19,4.984102187060085,0.7412864928047068,3.5311806611628596,6.43702371295731,4.242815694255378,0.11
111,64,47,4.733355633442421,0.6520357033910953,3.455365654795874,6.0113456120889674,4.081319930051325,0.03
111,45,31,4.718241570521567,0.6422972189328461,3.4593390214131885,5.977144119629945,4.075944351588721,0.02
111,99,17,4.782082691194722,0.7716409493108537,3.2696664305454486,6.294498951843995,4.010441741883868,0.03
6,6,1,4.651066590937017,0.8820642131036381,2.9222207332538863,6.379912448620147,3.7690023778333788,0.08
111,45,12,4.287818642945291,0.5818461641205607,3.147400161268992,5.428237124621591,3.7059724788247306,0.0
111,64,30,4.275215425382998,0.6158278676402784,3.068192804808053,5.482238045957944,3.65938755774272,0.0
99,45,53,4.240627217851143,0.5941160120940415,3.076159834146822,5.405094601555465,3.646511205757102,0.0
111,64,7,4.364593403527513,0.7322530859715846,2.929377355023207,5.799809452031819,3.6323403175559283,0.03
111,45,24,4.104841833809146,0.5992013956802966,2.930407098275764,5.279276569342527,3.5056404381288493,0.0
111,45,55,4.110865195179374,0.6343051974564039,2.8676270081648227,5.354103382193927,3.4765599977229704,0.0
111,64,2,4.003164308778763,0.5749332854384407,2.8762950693194194,5.130033548238107,3.428231023340323,0.0
111,36,1,3.994634152349656,0.6186147226852954,2.782149295886477,5.207119008812835,3.3760194296643604,0.0
111,6,1,3.9201485086682726,0.5444519214590618,2.8530227426085113,4.987274274728033,3.3756965872092106,0.0
41,99,17,3.9445632378716993,0.5726318332406105,2.822204844720103,5.066921631023296,3.3719314046310886,0.0
99,45,57,3.884539004803758,0.5484950651747139,2.809488677061319,4.959589332546197,3.336043939629044,0.0
36,6,58,4.269400541799096,0.9532134464658061,2.401102186726116,6.1376988968720765,3.3161870953332904,0.04
64,45,25,3.984013639090728,0.7213894401965821,2.570090336305427,5.397936941876029,3.262624198894146,0.0
36,6,18,4.107852913708152,0.8529323620136349,2.436105484161428,5.779600343254876,3.254920551694517,0.03
64,70,50,3.9549406029792693,0.7140258761541979,2.5554498857170413,5.354431320241497,3.2409147268250713,0.0
111,64,51,3.9923737163101167,0.7564813897920517,2.5096701923176954,5.475077240302538,3.235892326518065,0.0
64,99,17,3.961120178750903,0.733754717607987,2.5229609322392488,5.3992794252625576,3.227365461142916,0.0
111,45,7,3.857216051952013,0.7399620445322984,2.4068904446687083,5.3075416592353175,3.1172540074197146,0.0
111,64,15,3.7109688089116353,0.6277633557820055,2.4805526315789046,4.9413849862443655,3.08320545312963,0.0
111,64,44,3.6091352613976313,0.5333930792857509,2.5636848259975595,4.654585696797703,3.07574218211188,0.0
36,70,18,3.72715621459953,0.6540535780021206,2.4452112017153738,5.009101227483686,3.0731026365974095,0.0
111,99,18,3.5786157743193248,0.5277113083708486,2.544301609912462,4.612929938726188,3.0509044659484763,0.0
111,36,36,3.593069835316039,0.5425454000706943,2.5296808511774778,4.6564588194546,3.0505244352453444,0.0
99,45,21,3.695716912306603,0.6509927235636467,2.4197711741218555,4.971662650491351,3.0447241887429564,0.0
111,99,50,3.551198149258774,0.5068464481333849,2.55777911091734,4.544617187600208,3.044351701125389,0.0
6,6,28,4.010602401278144,0.9817379840347663,2.086395952570002,5.934808849986285,3.028864417243377,0.05
111,64,35,3.4208940005662716,0.44605827452148383,2.5466197825041634,4.29516821862838,2.9748357260447875,0.0
64,45,42,3.6069697061731842,0.6437598911827732,2.345200319454949,4.86873909289142,2.963209814990411,0.0
111,45,8,3.5288225832332913,0.583967315463572,2.3842466449246906,4.673398521541892,2.9448552677697193,0.0
111,6,47,3.537319698095262,0.5945255250669383,2.3720496689640633,4.702589727226461,2.942794173028324,0.0
111,99,43,3.575676952300713,0.636314223506054,2.3285010742288472,4.822852830372579,2.939362728794659,0.0
111,99,36,3.577445299458137,0.6511006333284035,2.301288058134466,4.853602540781807,2.9263446661297334,0.0
111,6,4,3.398735675460053,0.5540660569655457,2.3127662038075836,4.484705147112523,2.8446696184945073,0.0
111,36,43,3.4630340444275647,0.6189557307573704,2.2498808121431186,4.67618727671201,2.8440783136701944,0.0
99,6,17,3.3416955052735715,0.5177541713046762,2.326897329516406,4.356493681030737,2.8239413339688952,0.0
36,70,53,3.479398583555403,0.6810578385986629,2.1445252199020235,4.814271947208782,2.79834074495674,0.0
70,6,53,3.500479328683666,0.729845513533283,2.0699821221584314,4.930976535208901,2.770633815150383,0.0
99,45,47,3.3587517327862457,0.5973349720721474,2.187975187524837,4.529528278047654,2.7614167607140985,0.0
111,64,54,3.260730319991797,0.5153417397240411,2.2506605101326764,4.270800129850918,2.7453885802677562,0.0
111,6,26,3.318300471975362,0.573713590045446,2.193821835486288,4.442779108464436,2.744586881929916,0.0
70,6,18,3.465328306393881,0.7385578685861507,2.0177548839650257,4.912901728822736,2.72677043780773,0.0
111,43,53,3.2989432787247037,0.5781646095068653,2.1657406440912474,4.43214591335816,2.7207786692178386,0.0
111,70,27,3.393881574027995,0.6812926763601627,2.058547928362076,4.729215219693914,2.7125888976678323,0.0
64,70,4,3.312084824004441,0.6343163392670651,2.0688247990409936,4.555344848967889,2.677768484737376,0.0
36,6,47,3.628252045080277,0.9606501183835189,1.7453778130485802,5.511126277111974,2.6676019266967583,0.01
99,45,0,3.3111186981939307,0.6477243975239576,2.0415788790469738,4.580658517340888,2.663394300669973,0.0
111,64,37,3.1642845588857567,0.5107476510531852,2.1632191628215134,4.16534995495,2.6535369078325717,0.0
111,64,41,3.1838429637485235,0.5421608078369232,2.121207780388154,4.246478147108893,2.6416821559116004,0.0
111,36,24,3.0853167437638054,0.4665541681933722,2.170870574104796,3.9997629134228148,2.6187625755704333,0.0
6,36,26,3.491155106579076,0.8776552001489254,1.770950914287182,5.21135929887097,2.6134999064301505,0.01
111,70,21,3.2725917386012267,0.6713765823846496,1.9566936371273136,4.588489840075139,2.6012151562165773,0.0
70,6,23,3.0768577738131953,0.47981758008168784,2.1364153168530873,4.017300230773303,2.5970401937315075,0.0
36,70,1,3.1959877848474547,0.6015388649060966,2.016971609631505,4.375003960063404,2.594448919941358,0.0
111,45,26,3.1813067268326085,0.5906305916731303,2.0236707671532734,4.338942686511944,2.5906761351594785,0.0
111,99,30,3.0747189001673845,0.4886602305914115,2.116944848208218,4.032492952126551,2.586058669575973,0.0
45,6,19,3.266034990979299,0.6890761071264185,1.9154458210115186,4.6166241609470795,2.5769588838528805,0.0
64,99,19,3.1997327199718835,0.6307158202349115,1.963529712311457,4.43593572763231,2.569016899736972,0.0
64,70,14,3.207413918901362,0.6827701432657151,1.8691844381005605,4.545643399702163,2.524643775635647,0.0
70,6,38,3.219598014723308,0.7119154670958642,1.824243699215414,4.614952330231201,2.507682547627444,0.0
36,6,26,3.4402428462277173,0.9355253380231325,1.6066131837023776,5.2738725087530565,2.5047175082045845,0.0
36,99,50,2.9547046304430498,0.47172006373456565,2.030133305523301,3.8792759553627985,2.482984566708484,0.0
64,45,29,3.0957869336628954,0.6139202932181693,1.8925031589552834,4.2990707083705075,2.481866640444726,0.0
111,45,41,2.955383408601943,0.4758827036926861,2.0226533093642782,3.8881135078396074,2.4795007049092566,0.0
36,70,9,3.207279825110713,0.7803155053825847,1.677861434560847,4.736698215660579,2.4269643197281283,0.0
6,36,57,3.243274559703629,0.8181969147622522,1.639608606769615,4.8469405126376435,2.425077644941377,0.0
6,70,1,3.092714390007253,0.6733087720134838,1.773029196860825,4.4123995831536815,2.4194056179937693,0.0
74,99,53,2.905045673331088,0.48634275425981677,1.9518138749818472,3.8582774716803288,2.418702919071271,0.0
111,36,14,2.9323979311941444,0.5171821287241225,1.9187209588948644,3.9460749034934244,2.415215802470022,0.0
111,64,6,3.1566046591562404,0.74463286819987,1.6971242374844953,4.616085080827986,2.4119717909563705,0.0
36,6,45,3.1488895566984447,0.7425242997102152,1.693541929266423,4.604237184130467,2.4063652569882295,0.01
111,70,19,3.1028378295282106,0.7047639649425117,1.7215004582408877,4.484175200815534,2.398073864585699,0.0
70,6,58,3.002721605742485,0.6257301025050522,1.7762906048325824,4.229152606652387,2.3769915032374325,0.0
64,99,53,2.8146380896482595,0.43874740043957633,1.9546931847866897,3.674582994509829,2.375890689208683,0.0
6,70,52,3.205801696027428,0.8499014584593362,1.5399948374471288,4.871608554607727,2.3559002375680915,0.0
36,99,1,2.871496845793768,0.5288668004429133,1.8349179169256578,3.908075774661878,2.3426300453508544,0.0
111,36,7,2.9893312816104705,0.6573363249367875,1.7009520847343669,4.277710478486574,2.331994956673683,0.0
70,6,49,2.8507727807029357,0.5356283249730343,1.8009412637557887,3.9006042976500828,2.3151444557299015,0.0
111,36,18,2.7775386445780215,0.47178888474550135,1.8528324304768389,3.702244858679204,2.30574975983252,0.0
