drug_row,drug_col,cell_line,mean_synergy,std,ci_low,ci_high,conservative_score,topk_probability
64,45,28,2.945051775954342,1.5310795825782582,-0.05586420589904417,5.945967757807728,1.4139721933760838,0.42
64,45,0,1.912769397698216,1.1939560693355165,-0.42738449819939595,4.252923293595828,0.7188133283626996,0.08
70,6,38,2.3424232584785267,1.656962271246066,-0.9052227931637629,5.590069310120816,0.6854609872324606,0.27
64,45,57,1.7233156457652288,1.2345093842387356,-0.696322747342693,4.1429540388731505,0.4888062615264932,0.05
111,45,17,1.7073536098161457,1.3392329957596836,-0.917543061872834,4.332250281505125,0.3681206140564621,0.07
111,64,53,1.3246013815741202,1.0914355529120139,-0.8146123021334271,3.4638150652816675,0.23316582866210633,0.0
111,99,58,1.3503315931400381,1.2581355832418988,-1.1156141500140833,3.8162773362941596,0.09219600989813936,0.01
6,70,25,1.7955865887334854,1.785955826625986,-1.7048868314534473,5.296060008920418,0.009630762107499358,0.16
99,45,53,0.897761224456883,1.0480596694956834,-1.1564357277546566,2.9519581766684224,-0.1502984450388004,0.0
36,70,9,1.5874417118967292,1.7958816750160638,-1.9324863711347557,5.107369794928214,-0.20843996311933455,0.04
70,6,53,1.8897925610486188,2.2315374847000045,-2.48402090896339,6.263606031060628,-0.34174492365138565,0.19
111,45,55,0.6274245111400706,1.0512880760103973,-1.4331001178403078,2.687949140120449,-0.4238635648703267,0.01
111,99,17,0.7920969702235017,1.2250226170952567,-1.6089473592832013,3.193141299730205,-0.43292564687175505,0.01
64,45,6,0.8216323395602447,1.317847378720986,-1.7613485227328878,3.404613201853377,-0.49621503916074117,0.0
36,70,18,1.6685466954600612,2.1861792962519577,-2.616364725193776,5.953458116113898,-0.5176326007918965,0.2
111,99,43,0.3370937888400865,1.0628766409932686,-1.74614442750672,2.420332005186893,-0.7257828521531822,0.0
6,36,38,1.6951264445497054,2.4435080896078394,-3.094149411081659,6.4844023001810704,-0.748381645058134,0.23
64,82,21,0.33166539344934787,1.0874326465152067,-1.7997025937204572,2.463033380619153,-0.7557672530658588,0.0
64,45,25,0.5345457002607966,1.315448429026545,-2.0437332206312315,3.1128246211528245,-0.7809027287657483,0.0
111,45,24,0.24053627327040433,1.0222986062046922,-1.763168994890792,2.2442415414316006,-0.7817623329342878,0.0
111,99,50,0.07761581967999742,0.8771005538129214,-1.6415012657933286,1.7967329051533234,-0.799484734132924,0.0
36,70,53,1.634178774721748,2.435008642611047,-3.1384381647959034,6.406795714239399,-0.8008298678892989,0.18
111,64,15,0.29459242231913557,1.1322984242555991,-1.9247124892218388,2.51389733386011,-0.8377060019364635,0.0
111,99,48,0.13236578696404197,1.1507844756978187,-2.1231717854036827,2.3879033593317667,-1.0184186887337767,0.0
64,82,53,0.1507107255850474,1.2739246501856778,-2.3461815887788813,2.647603039948976,-1.1232139246006305,0.0
99,45,21,0.14501247183419322,1.2948907239604364,-2.3929733471282617,2.6829982907966485,-1.1498782521262432,0.0
111,99,5,-0.29701524666998474,0.8740948785094874,-2.01024120854858,1.4162107152086105,-1.1711101251794722,0.0
38,117,32,0.09674612701760679,1.3084072412427816,-2.4677320658182453,2.6612243198534586,-1.2116611142251748,0.0
70,6,4,0.5716151776890251,1.7990422565808102,-2.954507645209363,4.097738000587413,-1.2274270788917852,0.0
6,70,52,0.7281106014642069,1.9604754006555416,-3.1144211838206544,4.570642386749068,-1.2323647991913347,0.05
36,70,39,0.5176073295004768,1.7682701387078277,-2.948202142366865,3.9834168013678193,-1.2506628092073508,0.02
74,75,17,-0.4133481308780097,0.9073716186043239,-2.1917965033424847,1.365100241586465,-1.3207197494823335,0.0
70,6,18,1.1024531663374535,2.466915687347582,-3.7327015808638073,5.937607913538715,-1.3644625210101287,0.13
111,99,30,-0.46368249771877124,0.9019981943186156,-2.231598958583258,1.3042339631457154,-1.3656806920373867,0.0
111,43,53,-0.3787156912920955,1.0271832472171945,-2.3919948558377966,1.6345634732536054,-1.40589893850929,0.0
64,99,17,-0.25963896025031546,1.2028462522192367,-2.6172176146000194,2.0979396940993884,-1.4624852124695522,0.0
36,70,32,-0.056228806856997826,1.4361548948002882,-2.871092400665563,2.758634786951567,-1.492383701657286,0.0
36,70,15,0.2698574038105073,1.7666750052012166,-3.192825606383877,3.7325404140048914,-1.4968176013907093,0.0
64,45,39,-0.25614263368759566,1.267691587869935,-2.7408181459126686,2.228532878537477,-1.5238342215575307,0.01
80,117,41,-0.4921285978973969,1.0523331271034473,-2.554701527020154,1.57044433122536,-1.544461725000844,0.0
74,75,47,-0.79441944960186,0.7570577339614615,-2.2782526081663246,0.6894137089626045,-1.5514771835633214,0.0
70,6,7,0.6403306227441562,2.2163359649142493,-3.703687868487772,4.9843491139760845,-1.576005342170093,0.05
64,43,21,-0.643168451131928,0.9387981180541303,-2.4832127625180234,1.1968758602541674,-1.5819665691860583,0.0
64,45,29,-0.4531562662180817,1.1384129178753988,-2.6844455852538633,1.7781330528177,-1.5915691840934805,0.0
111,45,31,-0.49270680557568985,1.0995495911665918,-2.6478240042622097,1.66241039311083,-1.5922563967422816,0.0
6,70,31,0.12014748718151447,1.7179653875154648,-3.2470646723487966,3.4873596467118255,-1.5978179003339503,0.02
111,80,58,-0.5723618339743916,1.0364831101629888,-2.6038687298938497,1.4591450619450663,-1.6088449441373802,0.0
70,6,58,-0.12058327068046082,1.5216065418941247,-3.102932092792945,2.8617655514320237,-1.6421898125745855,0.0
6,70,39,0.2401848120139561,1.8866922159118773,-3.4577319311733232,3.9381015552012357,-1.6465074038979213,0.0
38,117,24,-0.1562390723715542,1.50217056032188,-3.100493370602439,2.7880152258593305,-1.6584096326934343,0.0
70,6,32,-0.23155534456025859,1.463248558927518,-3.0995225200581937,2.6364118309376763,-1.6948039034877764,0.0
64,45,42,-0.5097814135030171,1.2140984016978502,-2.8894142808308034,1.8698514538247695,-1.7238798152008674,0.0
6,70,4,0.3601886465719949,2.1389798723134463,-3.83221190316236,4.55258919630635,-1.7787912257414513,0.03
64,99,53,-0.6720041851335034,1.121467942396658,-2.870081352230953,1.5260729819639463,-1.7934721275301615,0.0
99,45,57,-0.6991136861480662,1.1031177418812954,-2.8612244602354053,1.4629970879392726,-1.8022314280293616,0.0
99,45,47,-0.8253779001345266,1.0228170942714494,-2.830099404906567,1.179343604637514,-1.8481949944059761,0.0
70,6,0,-0.07927749028316389,1.810147754193314,-3.627167088502059,3.4686121079357317,-1.8894252444764779,0.01
111,60,4,-1.0410157781308091,0.9618482691881366,-2.926238385739557,0.8442068294779386,-2.002864047318946,0.0
99,43,50,-1.1182375033341447,0.8892562356154997,-2.8611797251405244,0.6247047184722347,-2.0074937389496443,0.0
111,99,36,-0.9757194604415482,1.0823770755967883,-3.0971785286112534,1.145739607728157,-2.0580965360383363,0.0
36,70,12,-0.04167885898983849,2.0222953616646118,-4.005377767852478,3.9220200498728004,-2.0639742206544502,0.01
6,36,9,0.6046162542163616,2.6806931947510395,-4.649542407495676,5.858774915928399,-2.076076940534678,0.13
99,43,53,-1.1548870481101516,0.9246508406691512,-2.9672026958216877,0.6574285996013847,-2.079537888779303,0.0
111,64,47,-0.9828605356650513,1.1277091081201178,-3.1931703875804818,1.2274493162503795,-2.110569643785169,0.0
36,64,9,-1.0652222107160423,1.0572567354453886,-3.137445412189004,1.0070009907569193,-2.122478946161431,0.0
