drug_row,drug_col,cell_line,mean_synergy,std,ci_low,ci_high,conservative_score,topk_probability
111,45,13,5.786698985988441,0.9246411519402398,3.9744023281855707,7.59899564379131,4.862057834048201,0.89
111,64,7,4.858170829504397,0.6109355843866687,3.6607370841065263,6.055604574902268,4.247235245117729,0.65
111,32,13,4.801327146238985,0.6861852263756767,3.456404102542659,6.146250189935311,4.115141919863309,0.64
64,45,39,4.510085561033838,0.7399658133966636,3.0597525667763774,5.960418555291299,3.7701197476371746,0.47
111,36,13,4.185148760320901,0.7753097732325285,2.6655416047851457,5.704755915856657,3.4098389870883725,0.26
80,70,39,3.5175899503576966,0.6464042332182525,2.250637653249922,4.784542247465471,2.8711857171394444,0.05
41,75,52,3.4274358920717702,0.60273805555562,2.2460693031827548,4.608802480960786,2.82469783651615,0.01
117,43,13,3.409916054645973,0.753821225972662,1.9324264517395555,4.8874056575523905,2.656094828673311,0.02
80,32,27,3.1850117019642155,0.5536103673138744,2.0999353820290216,4.27008802189941,2.631401334650341,0.0
111,99,39,3.2384537397880706,0.6605493321094569,1.943777048853535,4.533130430722606,2.5779044076786137,0.0
111,45,7,3.23078313274909,0.6551377218763491,1.9467131978714458,4.514853067626735,2.575645410872741,0.0
111,36,7,3.173850469732777,0.5984568839104678,2.00087497726826,4.346825962197293,2.575393585822309,0.0
99,43,39,3.1208560815462865,0.5489379273543238,2.044937743931812,4.196774419160761,2.5719181541919625,0.0
36,99,13,3.3052783966505017,0.8182412777147854,1.7015254923295224,4.909031300971481,2.4870371189357163,0.01
111,6,19,3.1001003112793697,0.6654649597034078,1.7957889902606905,4.404411632298049,2.434635351575962,0.0
111,70,52,2.791494838168544,0.5357869956267949,1.7413523267400262,3.841637349597062,2.2557078425417494,0.0
80,32,39,2.767445521211764,0.5454292060343802,1.6984042773843788,3.836486765039149,2.2220163151773837,0.0
111,70,27,2.9300816072156954,0.712244181452563,1.534083011568672,4.326080202862719,2.2178374257631326,0.0
111,64,44,2.7596492199861906,0.579729525959709,1.6233793491051611,3.89591909086722,2.1799196940264816,0.0
64,45,6,2.812173102128138,0.6697941309630273,1.4993766054406046,4.124969598815671,2.142378971165111,0.0
38,99,16,2.6276748261728105,0.5023289017093266,1.6431101788225302,3.6122394735230907,2.125345924463484,0.0
80,117,52,2.58565817538507,0.46191286896744727,1.6803089522088734,3.4910073985612664,2.123745306417623,0.0
80,117,10,2.512182541908054,0.389025117763333,1.7496933110919215,3.2746717727241865,2.123157424144721,0.0
111,70,19,2.6723999976952215,0.6010612523901072,1.4943199430106113,3.8504800523798317,2.0713387453051144,0.0
99,70,13,2.644226812524433,0.62429442873213,1.420609732209458,3.8678438928394074,2.0199323837923027,0.0
60,32,13,2.605282185739298,0.6367044521811316,1.35734145946428,3.853222912014316,1.9685777335581665,0.0
70,32,19,2.5879713322285434,0.6233349644816577,1.3662348018444943,3.8097078626125924,1.9646363677468857,0.0
32,18,52,2.3666698597320086,0.408307746992884,1.566386675625956,3.1669530438380615,1.9583621127391246,0.0
80,32,12,2.355236352848525,0.4057882031630808,1.5598914746488868,3.1505812310481636,1.9494481496854443,0.0
38,32,6,2.4627450219247935,0.5356133899284136,1.412942777665103,3.512547266184484,1.9271316319963798,0.0
38,80,14,2.4299142782913132,0.5055656824033997,1.43900554078065,3.4208230158019766,1.9243485958879134,0.0
60,45,39,2.5141075951480127,0.6081893644622223,1.3220564408020572,3.7061587494939685,1.9059182306857905,0.0
70,117,52,2.5255939846535775,0.6331313661001102,1.2846565070973615,3.7665314622097936,1.8924626185534672,0.0
70,32,28,2.500703119359959,0.6261242225924147,1.2734996430788261,3.727906595641092,1.8745788967675443,0.0
111,82,13,2.387127821024545,0.5230064791231108,1.3620351219432476,3.412220520105842,1.864121341901434,0.0
111,36,39,2.456319881848803,0.5987296815864082,1.282809705939443,3.629830057758163,1.8575902002623947,0.0
68,80,27,2.3831348860790964,0.5283867941166237,1.347496769610514,3.418773002547679,1.8547480919624726,0.0
111,99,17,2.4182891275406786,0.5872233520465507,1.2673313575294392,3.569246897551918,1.8310657754941277,0.0
38,32,56,2.3443558711989545,0.5167921991084131,1.3314431609464648,3.3572685814514442,1.8275636720905415,0.0
80,117,28,2.277041612640854,0.451974412553882,1.3911717640352455,3.1629114612464626,1.825067200086972,0.0
60,32,39,2.341538393612256,0.5495523483676028,1.2644157908117546,3.4186609964127577,1.7919860452446532,0.0
