kinase_i,kinase_j,PairCTS
EGFR,ERBB2,0.5562150821369347
EGFR,ERBB3,0.43808584545185625
EGFR,ERBB4,0.4068492002901939
EGFR,MET,0.435554989514817
EGFR,MST1R,0.34159929492213287
EGFR,ALK,0.3897159007325638
EGFR,LTK,0.32017635363051794
EGFR,STYK1,0.27235862118592774
EGFR,KIT,0.37595099371433355
EGFR,PDGFRA,0.4597226531584412
EGFR,PDGFRB,0.4395299948451177
EGFR,CSF1R,0.3791550571390414
EGFR,FLT3,0.3612974010192215
EGFR,FLT1,0.38385350031629584
EGFR,KDR,0.4482041321602561
EGFR,FLT4,0.3201031853909968
EGFR,TEK,0.3387609560907158
EGFR,TIE1,0.3199416604562201
EGFR,FGFR1,0.42520426025805047
EGFR,FGFR2,0.41366908077251235
EGFR,FGFR3,0.34349515728653784
EGFR,FGFR4,0.312641578481591
EGFR,INSR,0.3684729606276507
EGFR,IGF1R,0.4705872197830657
EGFR,INSRR,0.316289445079907
EGFR,NTRK1,0.3974536902083363
EGFR,NTRK2,0.4070299208804618
EGFR,NTRK3,0.3130765151451719
EGFR,AXL,0.40545675919606455
EGFR,MERTK,0.32880143089637515
EGFR,TYRO3,0.33828991337102626
EGFR,DDR1,0.29155178747827554
EGFR,DDR2,0.35041131301780915
EGFR,RET,0.4052696817254156
EGFR,ROR1,0.3498686226412579
EGFR,ROR2,0.2802809445402885
EGFR,MUSK,0.31088981201306526
EGFR,AATK,0.5279155859167013
EGFR,EPHA1,0.5009492531272419
EGFR,EPHA2,0.6144569042863279
EGFR,EPHA3,0.5405269287649503
EGFR,EPHA4,0.49963970711309186
EGFR,EPHA5,0.5640768190089014
EGFR,EPHA6,0.48210418591651394
EGFR,EPHA7,0.501221050501814
EGFR,EPHA8,0.5211024357317562
EGFR,EPHA10,0.4865837642431117
EGFR,EPHB1,0.5194810064637594
EGFR,EPHB2,0.5546087244076825
EGFR,EPHB3,0.5065766075427944
EGFR,EPHB4,0.49505463418471957
EGFR,EPHB6,0.48605687748346227
EGFR,ROS1,0.5313371244456773
EGFR,RYK,0.5112443636339099
EGFR,PTK7,0.4941674297819578
EGFR,SRC,0.556336816556575
EGFR,YES1,0.5397525055897485
EGFR,FYN,0.5421977351126797
EGFR,LYN,0.5315151786401918
EGFR,LCK,0.5187209488696845
EGFR,HCK,0.519129856397526
EGFR,BLK,0.46333047575612635
EGFR,FGR,0.5149393391521786
EGFR,FRK,0.48071427961428376
EGFR,PTK6,0.5030749640920686
EGFR,SRMS,0.47060659751424744
EGFR,PTK2,0.6007760321513769
EGFR,PTK2B,0.48786758121526713
EGFR,JAK1,0.5077959658679172
EGFR,JAK2,0.5243949331657709
EGFR,JAK3,0.509012886753458
EGFR,TYK2,0.4879629604805503
EGFR,ABL1,0.5402129993667204
EGFR,ABL2,0.47860763612219887
EGFR,ZAP70,0.4835868882925562
EGFR,SYK,0.5432998427014473
EGFR,BTK,0.5019907740270271
EGFR,ITK,0.48555355463383837
EGFR,TEC,0.5102595609830458
EGFR,BMX,0.48005010748759624
EGFR,TXK,0.5109087830236447
EGFR,TNK1,0.5253771776642104
EGFR,TNK2,0.46986515490925
EGFR,CSK,0.5283709435861104
EGFR,MATK,0.460322372179667
EGFR,FER,0.48270996650731046
EGFR,FES,0.49869039553631883
EGFR,LMTK2,0.5220264963421382
EGFR,LMTK3,0.5231640696288078
ERBB2,ERBB3,0.4649922280525713
ERBB2,ERBB4,0.43405558289090884
ERBB2,MET,0.44756137211553204
ERBB2,MST1R,0.3603056775228479
ERBB2,ALK,0.4436222833332788
ERBB2,LTK,0.30438273623123296
ERBB2,STYK1,0.3640650037866428
ERBB2,KIT,0.3600573763150485
ERBB2,PDGFRA,0.46482903575915624
ERBB2,PDGFRB,0.4540363774458327
ERBB2,CSF1R,0.33636143973975646
ERBB2,FLT3,0.40260378361993654
ERBB2,FLT1,0.4090598829170108
ERBB2,KDR,0.4586105147609711
ERBB2,FLT4,0.4192095679917118
ERBB2,TEK,0.36236733869143084
ERBB2,TIE1,0.3468480430569351
ERBB2,FGFR1,0.4779106428587655
ERBB2,FGFR2,0.45417546337322734
ERBB2,FGFR3,0.4020015398872529
ERBB2,FGFR4,0.4224479610823061
ERBB2,INSR,0.4059793432283657
ERBB2,IGF1R,0.4978936023837807
ERBB2,INSRR,0.410595827680622
ERBB2,NTRK1,0.4366600728090513
ERBB2,NTRK2,0.41613630348117686
ERBB2,NTRK3,0.41168289774588684
ERBB2,AXL,0.4294631417967796
ERBB2,MERTK,0.42360781349709015
ERBB2,TYRO3,0.4327962959717413
ERBB2,DDR1,0.38615817007899056
ERBB2,DDR2,0.3217176956185241
ERBB2,RET,0.4240760643261306
ERBB2,ROR1,0.3066750052419729
ERBB2,ROR2,0.3720873271410035
ERBB2,MUSK,0.2829961946137802
ERBB2,AATK,0.5548219685174164
ERBB2,EPHA1,0.597355635727957
ERBB2,EPHA2,0.6344632868870429
ERBB2,EPHA3,0.6341333113656653
ERBB2,EPHA4,0.5926460897138068
ERBB2,EPHA5,0.6564832016096164
ERBB2,EPHA6,0.509010568517229
ERBB2,EPHA7,0.528127433102529
ERBB2,EPHA8,0.5480088183324712
ERBB2,EPHA10,0.5134901468438267
ERBB2,EPHB1,0.6122873890644743
ERBB2,EPHB2,0.5999151070083975
ERBB2,EPHB3,0.5334829901435095
ERBB2,EPHB4,0.5219610167854346
ERBB2,EPHB6,0.5129632600841774
ERBB2,ROS1,0.5582435070463923
ERBB2,RYK,0.5381507462346249
ERBB2,PTK7,0.5210738123826728
ERBB2,SRC,0.58324319915729
ERBB2,YES1,0.5666588881904635
ERBB2,FYN,0.5691041177133946
ERBB2,LYN,0.5584215612409069
ERBB2,LCK,0.5456273314703994
ERBB2,HCK,0.5460362389982409
ERBB2,BLK,0.49023685835684133
ERBB2,FGR,0.5418457217528936
ERBB2,FRK,0.5076206622149988
ERBB2,PTK6,0.5299813466927836
ERBB2,SRMS,0.4975129801149624
ERBB2,PTK2,0.6276824147520919
ERBB2,PTK2B,0.5147739638159821
ERBB2,JAK1,0.5347023484686322
ERBB2,JAK2,0.5513013157664859
ERBB2,JAK3,0.5359192693541731
ERBB2,TYK2,0.5148693430812654
ERBB2,ABL1,0.5671193819674354
ERBB2,ABL2,0.5055140187229139
ERBB2,ZAP70,0.5104932708932712
ERBB2,SYK,0.5702062253021623
ERBB2,BTK,0.5288971566277421
ERBB2,ITK,0.5124599372345534
ERBB2,TEC,0.5371659435837608
ERBB2,BMX,0.5069564900883112
ERBB2,TXK,0.5378151656243597
ERBB2,TNK1,0.5522835602649254
ERBB2,TNK2,0.496771537509965
ERBB2,CSK,0.5552773261868253
ERBB2,MATK,0.48722875478038197
ERBB2,FER,0.5096163491080254
ERBB2,FES,0.5255967781370339
ERBB2,LMTK2,0.5489328789428531
ERBB2,LMTK3,0.5500704522295228
ERBB3,ERBB4,0.3159263462058304
ERBB3,MET,0.3434321354304536
ERBB3,MST1R,0.17087644083776937
ERBB3,ALK,0.24799304664820032
ERBB3,LTK,0.18625349954615447
ERBB3,STYK1,0.1811357671015643
ERBB3,KIT,0.2976281396299701
ERBB3,PDGFRA,0.3158997990740777
ERBB3,PDGFRB,0.24850714076075425
ERBB3,CSF1R,0.218232203054678
ERBB3,FLT3,0.210974546934858
ERBB3,FLT1,0.23193064623193232
ERBB3,KDR,0.33468127807589265
ERBB3,FLT4,0.22888033130663332
ERBB3,TEK,0.19883810200635238
ERBB3,TIE1,0.22871880637185663
ERBB3,FGFR1,0.331381406173687
ERBB3,FGFR2,0.32464622668814885
ERBB3,FGFR3,0.2073723032021744
ERBB3,FGFR4,0.22141872439722757
ERBB3,INSR,0.20255010654328726
ERBB3,IGF1R,0.37376436569870225
ERBB3,INSRR,0.22506659099554352
ERBB3,NTRK1,0.30213083612397285
ERBB3,NTRK2,0.22760706679609835
ERBB3,NTRK3,0.2218536610608084
ERBB3,AXL,0.3082339051117011
ERBB3,MERTK,0.23757857681201167
ERBB3,TYRO3,0.2470670592866628
ERBB3,DDR1,0.20032893339391206
ERBB3,DDR2,0.24788845893344563
ERBB3,RET,0.2910468276410521
ERBB3,ROR1,0.18854576855689442
ERBB3,ROR2,0.18905809045592503
ERBB3,MUSK,0.16486695792870176
ERBB3,AATK,0.4366927318323379
ERBB3,EPHA1,0.40972639904287855
ERBB3,EPHA2,0.43293405020196446
ERBB3,EPHA3,0.4493040746805868
ERBB3,EPHA4,0.4084168530287284
ERBB3,EPHA5,0.4728539649245379
ERBB3,EPHA6,0.39088133183215046
ERBB3,EPHA7,0.40999819641745044
ERBB3,EPHA8,0.4298795816473927
ERBB3,EPHA10,0.4429609101587483
ERBB3,EPHB1,0.42825815237939596
ERBB3,EPHB2,0.414985870323319
ERBB3,EPHB3,0.41535375345843106
ERBB3,EPHB4,0.40383178010035614
ERBB3,EPHB6,0.3948340233990988
ERBB3,ROS1,0.44011427036131373
ERBB3,RYK,0.4200215095495465
ERBB3,PTK7,0.40294457569759434
ERBB3,SRC,0.4651139624722115
ERBB3,YES1,0.4485296515053851
ERBB3,FYN,0.4509748810283162
ERBB3,LYN,0.44029232455582834
ERBB3,LCK,0.42749809478532097
ERBB3,HCK,0.4279070023131625
ERBB3,BLK,0.37210762167176287
ERBB3,FGR,0.4237164850678151
ERBB3,FRK,0.38949142552992033
ERBB3,PTK6,0.4118521100077052
ERBB3,SRMS,0.37938374342988396
ERBB3,PTK2,0.5095531780670135
ERBB3,PTK2B,0.39664472713090365
ERBB3,JAK1,0.41657311178355366
