kinase_id,n_trials_in_top20_of_1000,in_baseline_top20
EGFR,1000,True
ERBB2,1000,True
IGF1R,1000,True
KDR,1000,True
PTK2,1000,True
FGFR2,999,True
FGFR1,997,True
SRC,996,True
PDGFRA,994,True
EPHA5,925,True
PDGFRB,911,True
ABL1,876,True
ALK,816,True
YES1,775,True
SYK,738,True
TYRO3,619,True
MET,608,True
EPHA3,582,True
KIT,576,False
ERBB3,573,True
FYN,530,True
NTRK1,403,False
MERTK,379,False
JAK2,205,False
AATK,190,False
ROS1,188,False
RET,167,False
EPHA8,134,False
FLT3,133,False
LYN,125,False
TIE1,96,False
RYK,74,False
TNK1,69,False
EPHB1,57,False
LMTK3,55,False
LMTK2,47,False
EPHA2,32,False
LCK,29,False
FLT4,26,False
INSRR,26,False
NTRK2,17,False
FLT1,14,False
CSK,10,False
TEC,5,False
JAK3,4,False
FGFR4,0,False
CSF1R,0,False
ERBB4,0,False
LTK,0,False
STYK1,0,False
MST1R,0,False
INSR,0,False
FGFR3,0,False
TEK,0,False
EPHA1,0,False
ROR1,0,False
ROR2,0,False
DDR2,0,False
PTK7,0,False
EPHB3,0,False
EPHB4,0,False
EPHB6,0,False
EPHA7,0,False
EPHA6,0,False
EPHA10,0,False
EPHB2,0,False
EPHA4,0,False
DDR1,0,False
NTRK3,0,False
AXL,0,False
MUSK,0,False
FRK,0,False
PTK6,0,False
HCK,0,False
TYK2,0,False
SRMS,0,False
PTK2B,0,False
JAK1,0,False
BLK,0,False
FGR,0,False
ZAP70,0,False
ABL2,0,False
TXK,0,False
BMX,0,False
ITK,0,False
BTK,0,False
MATK,0,False
TNK2,0,False
FES,0,False
FER,0,False
