trial,spearman_rho,top10_overlap,top20_overlap,w_centrality,w_essentiality,w_survival,w_druggability
0,0.9896777379923447,1.0,0.95,0.2500877633599176,0.30268064079331647,0.23103600024168547,0.21619559560508037
1,0.9944190640819853,1.0,0.9,0.2984131637103561,0.21001074456003757,0.2510650741342781,0.24051101759532834
2,0.979651808865292,0.9,0.95,0.30035768899118154,0.18806912787794475,0.3444894501780768,0.16708373295279702
3,0.9684076223402066,0.9,0.9,0.27759635368934515,0.263637550800023,0.17111501685566197,0.28765107865496997
4,0.9595505617977529,0.9,0.9,0.26724534679689355,0.18738545881632496,0.39037338373731967,0.1549958106494619
5,0.9401242951804749,0.8,0.9,0.15754452244964626,0.23005203551599188,0.3183823072024815,0.29402113483188036
6,0.976392147178664,0.9,0.8,0.3473907713581753,0.14194510779452874,0.2430985653182813,0.26756555552901473
7,0.9132403177346996,0.8,0.85,0.1858142742092897,0.11593016467313999,0.30777997976483995,0.3904755813527304
8,0.9410297567600939,0.9,0.8,0.2455966602769817,0.42099122630825814,0.1502064252208554,0.1832056881939048
9,0.9766390912458327,1.0,0.95,0.24108141251788562,0.18407032969275708,0.29778514914363174,0.27706310864572564
10,0.947697246573651,0.9,0.85,0.24588647889485987,0.15851979467825797,0.2332847987464129,0.3623089276804693
11,0.9523727209120467,0.9,0.65,0.4372726970223028,0.266322748775314,0.1319693584643165,0.16443519573806664
12,0.9962793760546569,1.0,0.9,0.341649473633807,0.23837350382641861,0.2409488724223965,0.1790281501173781
13,0.9349549327077417,0.8,0.8,0.1543271596573212,0.3579460526657727,0.3016512874208164,0.18607550025608963
14,0.9318928262748486,0.8,0.85,0.22077976047331013,0.23740803562117638,0.41429038850968164,0.12752181539583182
15,0.9529983125488742,0.8,0.9,0.21597716654789045,0.2810831234759402,0.3598859590885498,0.14305375088761954
16,0.9218998230234184,0.9,0.85,0.22031420892677905,0.35130106782049736,0.12259919243996253,0.3057855308127611
17,0.8980285631971024,0.8,0.6,0.5071281250973979,0.2728662661267896,0.06845344991943045,0.15155215885638199
18,0.9340494711281226,0.8,0.8,0.20300903235153675,0.43169494045011075,0.2537975224542338,0.11149850474411885
19,0.9915545129028274,1.0,0.95,0.28355952483800534,0.3086258475094058,0.2285841890881897,0.17923043856439935
20,0.9878338889574844,1.0,0.8,0.3774902910472438,0.23195940344878463,0.24092240596703768,0.14962789953693387
21,0.853446927604231,0.7,0.75,0.18293504833398713,0.20240949330415353,0.13028912449384214,0.4843663338680172
22,0.9404370909988888,0.9,0.9,0.2006900277713507,0.3679520811297904,0.1742809299590245,0.25707696113983436
23,0.9195456229164094,0.8,0.85,0.2448723623992903,0.11057587877681838,0.4569631340960726,0.18758862472781873
24,0.928781331028522,0.8,0.9,0.14039558316162895,0.32712857187050837,0.24568476913576553,0.28679107583209723
25,0.9698563608675967,0.9,0.8,0.3909874692000396,0.11983461188450115,0.24686865635288016,0.24230926256257923
26,0.997398855825822,1.0,1.0,0.3231698084386237,0.22046737226784238,0.27032474954245433,0.18603806975107953
27,0.9891179981067622,1.0,0.9,0.30359158055393703,0.22229345010814164,0.21506244050466364,0.2590525288332577
28,0.8581224019426265,0.7,0.75,0.2154806172803847,0.5532700615416438,0.13533620935736065,0.09591311182061096
29,0.94124377495164,0.9,0.75,0.42157505332038003,0.25552148601001,0.10928244189266939,0.2136210187769406
30,0.845231921636416,0.6,0.75,0.41658285481347485,0.1116455145264041,0.0668393240617285,0.4049323065983926
31,0.8293781125241799,0.7,0.75,0.08844466778452525,0.46857848208026553,0.12942620529648732,0.3135506448387219
32,0.9823517306663374,1.0,0.95,0.2261332695263789,0.30848241071703497,0.23847726415990206,0.22690705559668414
33,0.9919825492859201,1.0,0.95,0.2500599074415454,0.2777749617649366,0.2415816770866505,0.23058345370686745
34,0.9030991480429682,0.7,0.8,0.16460054336627097,0.22413822296383967,0.45019331881232166,0.1610679148575677
35,0.9655924599744824,0.9,0.95,0.20404328674000036,0.3006642007415862,0.22457887699469767,0.27071363552371597
36,0.9473679878174258,0.8,0.9,0.1647067883620328,0.32625304394971194,0.2520485759300481,0.2569915917582072
37,0.9671070502531176,0.9,0.7,0.43242144718712117,0.2093176312182414,0.26760944669924,0.09065147489539753
38,0.9804420298802321,1.0,0.75,0.38245884648632633,0.2740041442322728,0.18295524708401278,0.1605817621973881
39,0.9699880643700868,0.9,0.9,0.2015684666431846,0.25689401350472535,0.31822786897331445,0.22330965087877555
40,0.9726385973576984,0.9,0.9,0.2060884643366144,0.30611743746468656,0.28134170029282357,0.20645239790587555
41,0.9917520681565625,1.0,0.95,0.3077080310006747,0.30515008945613303,0.2146730880113878,0.1724687915318044
42,0.9430711610486889,0.9,0.75,0.36677453198109666,0.16616048733346192,0.14834308400570506,0.31872189667973627
43,0.9659711075441413,0.9,0.8,0.32912559812945125,0.28852578174439014,0.3027244661907718,0.07962415393538694
44,0.9768531094373791,1.0,0.95,0.2157776646410625,0.30735624085063906,0.24003859290427573,0.23682750160402274
45,0.9808536033255134,1.0,0.95,0.2547720963995334,0.2590611950717431,0.21387199631608997,0.27229471221263357
46,0.875885911840968,0.7,0.85,0.1287246297621921,0.4075984996575257,0.14629711406906384,0.31737975651121825
47,0.9295386261678396,0.9,0.8,0.2900649610559558,0.23910075887519294,0.4161809230451453,0.054653357023705953
48,0.9045149606947358,0.8,0.7,0.21460258001004212,0.4643532918687308,0.14043218100554647,0.1806119471156807
49,0.9950611186566243,1.0,1.0,0.2756239393304006,0.22380066908646437,0.268045155025894,0.23253023655724103
50,0.9916697534675063,1.0,0.95,0.29673723144312014,0.18928253816707027,0.292454799554545,0.2215254308352646
51,0.9219656747746634,0.8,0.8,0.28530896206790163,0.4643131709977718,0.1656055947458339,0.08477227218849269
52,0.9716837469646458,0.9,0.9,0.2824334485299953,0.2225935467990545,0.3557626972051435,0.13921030746580682
53,0.9919331604724863,1.0,0.95,0.2817528034327279,0.30770070336837063,0.22100392784737524,0.1895425653515261
54,0.9503971683746963,0.8,0.8,0.41291509311191577,0.14159081494441195,0.17200319297866828,0.27349089896500395
55,0.975750092604025,0.9,0.85,0.3823005834585384,0.197687136766851,0.18592306914148488,0.2340892106331259
56,0.9625303535415893,0.9,0.9,0.2256534857287294,0.16286871927935684,0.3028698096850622,0.3086079853068515
