trial,spearman_rho,top10_overlap,top20_overlap
0,0.9704617352875303,0.7,0.65
1,0.962637108217614,0.5,0.55
2,0.9754284466396074,0.6,0.55
3,0.9057171903957906,0.5,0.5
4,0.9761887299967821,0.6,0.6
5,0.9343887577957821,0.2,0.35
6,0.9492391137502124,0.4,0.4
7,0.9033051975912967,0.1,0.2
8,0.9583502992731848,0.7,0.65
9,0.946265951303339,0.4,0.45
10,0.8989033841956707,0.3,0.35
11,0.9413510547186438,0.7,0.65
12,0.9828118934268699,0.7,0.6
13,0.962830222707261,0.6,0.45
14,0.984249887296441,0.7,0.65
15,0.981501505444804,0.7,0.65
16,0.8093461288982615,0.6,0.45
17,0.7946129974968741,0.7,0.7
18,0.982964884876063,0.6,0.55
19,0.983849167599385,0.7,0.65
20,0.9886011526062686,0.7,0.65
21,0.6643310504092366,0.1,0.15
22,0.9271182362040458,0.6,0.45
23,0.9549637977602773,0.4,0.4
24,0.933271239597144,0.3,0.25
25,0.9565371119276218,0.4,0.4
26,0.9776068817411299,0.6,0.6
27,0.9514280222779272,0.5,0.55
28,0.9576077195703936,0.5,0.35
29,0.8647394940432913,0.7,0.6
30,0.5806755563878307,0.3,0.35
31,0.7930052892165904,0.2,0.15
32,0.9649026421081821,0.6,0.6
33,0.9654156410510644,0.6,0.6
34,0.9650229451028254,0.6,0.6
35,0.944122520212318,0.6,0.45
36,0.948052433354817,0.5,0.45
37,0.9868098530178445,0.7,0.75
38,0.9857784312467457,0.7,0.65
39,0.9578390932236569,0.6,0.5
40,0.9661864861901884,0.6,0.6
41,0.9871606111768341,0.7,0.65
42,0.8395611678883401,0.3,0.4
43,0.9955758245654862,0.9,0.95
44,0.9605662945378092,0.6,0.55
45,0.9439506122251667,0.6,0.5
46,0.8300441081466174,0.3,0.2
47,0.9929362654376258,0.8,0.9
48,0.9445027568780142,0.6,0.6
49,0.9639323795196728,0.6,0.55
50,0.9642663173950513,0.5,0.55
51,0.9895724793866347,0.7,0.75
52,0.9845412079959137,0.7,0.65
53,0.981082857748197,0.7,0.65
54,0.906064778955443,0.4,0.4
55,0.9495832941686634,0.5,0.5
56,0.9351408307922975,0.4,0.4
57,0.913559310784821,0.4,0.4
58,0.9472722353945463,0.8,0.7
59,0.9694387129173153,0.7,0.65
60,0.9662294255937499,0.7,0.65
61,0.9790269722685706,0.7,0.65
