kinase_i,kinase_j,n_trials_in_top20_of_1000
EGFR,EPHA2,1000
ERBB2,EPHA2,1000
ERBB2,EPHA5,996
ERBB2,EPHA3,990
ERBB2,EPHB1,987
ERBB2,EPHA1,973
ERBB2,EPHB2,963
ERBB2,EPHA4,955
FGFR1,EPHA4,892
KDR,EPHA3,764
EGFR,EPHB2,729
EGFR,ERBB2,603
IGF1R,EPHA2,596
FGFR2,EPHA5,567
ERBB2,PTK2,532
FGFR2,EPHA2,509
ERBB2,IGF1R,453
AXL,EPHA2,431
EGFR,PTK2,400
EGFR,IGF1R,379
ERBB2,ERBB3,358
EGFR,PDGFRA,345
ERBB2,SRC,322
PDGFRA,EPHA2,257
ERBB2,SYK,241
EGFR,PDGFRB,240
EGFR,ERBB3,223
NTRK2,EPHA1,214
ERBB2,FYN,211
NTRK1,EPHA3,211
ERBB2,ERBB4,206
EGFR,MET,183
ERBB2,ABL1,181
FGFR4,EPHA4,176
FGFR3,EPHA5,171
SRC,PTK2,162
FGFR3,EPHA4,159
ERBB2,YES1,153
FYN,PTK2,110
ERBB2,PDGFRB,109
ERBB2,LYN,106
FGFR1,PTK2,79
EGFR,EPHA5,78
ERBB2,ROS1,74
ERBB2,FGFR1,62
LYN,PTK2,60
EGFR,ERBB4,59
IGF1R,PTK2,58
KDR,PTK2,46
ERBB2,CSK,42
EPHA5,PTK2,34
ERBB2,AATK,33
ERBB2,PDGFRA,30
PDGFRA,PTK2,30
HCK,PTK2,29
ERBB2,MET,28
FGR,PTK2,25
NTRK2,EPHA7,25
FGFR2,PTK2,19
PDGFRB,KDR,13
EGFR,SRC,11
EPHA3,PTK2,10
ERBB2,TNK1,10
PDGFRB,PTK2,10
FLT1,KDR,9
ALK,PTK2,9
TYRO3,PTK2,9
INSR,IGF1R,6
DDR1,EPHA2,6
ERBB3,PTK2,6
ERBB2,FGFR2,5
YES1,PTK2,4
SRC,SYK,4
SRC,FYN,3
PTK2,JAK2,3
ERBB2,KDR,2
ERBB2,FGFR4,2
ERBB2,INSR,2
ERBB3,IGF1R,2
EGFR,KDR,2
PDGFRA,PDGFRB,1
MET,PTK2,1
NTRK1,PTK2,1
ERBB2,ALK,1
